Banco,Contrato,Origen,Tipo archivo recaudo,periodo,Mes,Total recaudo,Total transacciones
avvillas,alumbrado publico,presencial,pagos presencial,2022,10,160250,2
avvillas,alumbrado publico,presencial,pagos presencial,2022,11,276341,3
avvillas,alumbrado publico,presencial,pagos presencial,2022,12,494549,13
avvillas,alumbrado publico,presencial,pagos presencial,2023,2,521023,3
avvillas,alumbrado publico,presencial,pagos presencial,2023,3,37258000,35
avvillas,alumbrado publico,presencial,pagos presencial,2023,4,1307540,15
avvillas,alumbrado publico,presencial,pagos presencial,2023,5,104639,3
avvillas,alumbrado publico,presencial,pagos presencial,2023,6,1163657,24
avvillas,alumbrado publico,presencial,pagos presencial,2023,8,275624,3
avvillas,alumbrado publico,presencial,pagos presencial,2023,10,81270,2
avvillas,alumbrado publico,presencial,pagos presencial,2023,11,39686000,33
avvillas,alumbrado publico,presencial,pagos presencial,2023,12,1539613,11
avvillas,aprov.esp.pub,presencial,pagos presencial,2022,7,8154310,2
avvillas,aprov.esp.pub,presencial,pagos presencial,2022,9,121005,1
avvillas,aprov.esp.pub,presencial,pagos presencial,2023,3,1101924,1
avvillas,aprov.esp.pub,presencial,pagos presencial,2023,11,93264,1
avvillas,aprov.esp.pub,presencial,pagos presencial,2023,12,260000,1
avvillas,circulacion y transito,presencial,pagos presencial,2022,2,69420,1
avvillas,circulacion y transito,presencial,pagos presencial,2022,3,814820,8
avvillas,circulacion y transito,presencial,pagos presencial,2022,4,4722457,33
avvillas,circulacion y transito,presencial,pagos presencial,2022,5,13819,1
avvillas,circulacion y transito,presencial,pagos presencial,2022,6,1453208,18
avvillas,circulacion y transito,presencial,pagos presencial,2022,7,1272622,14
avvillas,circulacion y transito,presencial,pagos presencial,2022,8,94952,1
avvillas,circulacion y transito,presencial,pagos presencial,2022,9,69793,1
avvillas,circulacion y transito,presencial,pagos presencial,2022,10,1207458,5
avvillas,circulacion y transito,presencial,pagos presencial,2022,11,360029,2
avvillas,circulacion y transito,presencial,pagos presencial,2022,12,1979505,12
avvillas,circulacion y transito,presencial,pagos presencial,2023,1,51890,2
avvillas,circulacion y transito,presencial,pagos presencial,2023,2,3572032,56
avvillas,circulacion y transito,presencial,pagos presencial,2023,3,11168041,90
avvillas,circulacion y transito,presencial,pagos presencial,2023,4,13943115,159
avvillas,circulacion y transito,presencial,pagos presencial,2023,5,3993856,15
avvillas,circulacion y transito,presencial,pagos presencial,2023,6,1770302,22
avvillas,circulacion y transito,presencial,pagos presencial,2023,7,692414,5
avvillas,circulacion y transito,presencial,pagos presencial,2023,8,177414,1
avvillas,circulacion y transito,presencial,pagos presencial,2023,9,327498,2
avvillas,circulacion y transito,presencial,pagos presencial,2023,10,420652,1
avvillas,circulacion y transito,presencial,pagos presencial,2023,11,403821,1
avvillas,delineación urbana,presencial,pagos presencial,2022,4,1259000,1
avvillas,delineación urbana,presencial,pagos presencial,2022,5,192000,1
avvillas,delineación urbana,presencial,pagos presencial,2022,6,336550000,4
avvillas,delineación urbana,presencial,pagos presencial,2022,7,378000,3
avvillas,delineación urbana,presencial,pagos presencial,2022,8,1219000,1
avvillas,delineación urbana,presencial,pagos presencial,2022,9,5326000,4
avvillas,delineación urbana,presencial,pagos presencial,2022,10,1919000,1
avvillas,delineación urbana,presencial,pagos presencial,2022,11,4499000,5
avvillas,delineación urbana,presencial,pagos presencial,2022,12,4334000,6
avvillas,delineación urbana,presencial,pagos presencial,2023,1,1754600,3
avvillas,delineación urbana,presencial,pagos presencial,2023,2,5672050,3
avvillas,delineación urbana,presencial,pagos presencial,2023,3,10783460,7
avvillas,delineación urbana,presencial,pagos presencial,2023,4,4506840,5
avvillas,delineación urbana,presencial,pagos presencial,2023,5,862420,4
avvillas,delineación urbana,presencial,pagos presencial,2023,6,21769150,6
avvillas,delineación urbana,presencial,pagos presencial,2023,7,61145150,8
avvillas,delineación urbana,presencial,pagos presencial,2023,8,2685700,9
avvillas,delineación urbana,presencial,pagos presencial,2023,9,802583460,4
avvillas,delineación urbana,presencial,pagos presencial,2023,10,3376920,6
avvillas,delineación urbana,presencial,pagos presencial,2023,11,18034850,11
avvillas,delineación urbana,presencial,pagos presencial,2023,12,2495240,3
avvillas,impuesto predial,presencial,pagos presencial,2022,2,2807400,2
avvillas,impuesto predial,presencial,pagos presencial,2022,3,11558995,27
avvillas,impuesto predial,presencial,pagos presencial,2022,4,6206383,28
avvillas,impuesto predial,presencial,pagos presencial,2022,5,16290222,32
avvillas,impuesto predial,presencial,pagos presencial,2022,6,17920862,36
avvillas,impuesto predial,presencial,pagos presencial,2022,7,17409395,46
avvillas,impuesto predial,presencial,pagos presencial,2022,8,18282288,38
avvillas,impuesto predial,presencial,pagos presencial,2022,9,13579183,47
avvillas,impuesto predial,presencial,pagos presencial,2022,10,14278947,59
avvillas,impuesto predial,presencial,pagos presencial,2022,11,9905818,35
avvillas,impuesto predial,presencial,pagos presencial,2022,12,18696071,58
avvillas,impuesto predial,presencial,pagos presencial,2023,1,5676396,25
avvillas,impuesto predial,presencial,pagos presencial,2023,2,10310776,35
avvillas,impuesto predial,presencial,pagos presencial,2023,3,10650550,34
avvillas,impuesto predial,presencial,pagos presencial,2023,4,12511645,42
avvillas,impuesto predial,presencial,pagos presencial,2023,5,15325483,40
avvillas,impuesto predial,presencial,pagos presencial,2023,6,17275926,46
avvillas,impuesto predial,presencial,pagos presencial,2023,7,13059049,36
avvillas,impuesto predial,presencial,pagos presencial,2023,8,13899199,48
avvillas,impuesto predial,presencial,pagos presencial,2023,9,19280924,56
avvillas,impuesto predial,presencial,pagos presencial,2023,10,8807914,19
avvillas,impuesto predial,presencial,pagos presencial,2023,11,36736984,41
avvillas,impuesto predial,presencial,pagos presencial,2023,12,14536069,41
avvillas,impuesto telefonico,presencial,pagos presencial,2022,7,241309,7
avvillas,impuesto telefonico,presencial,pagos presencial,2022,10,13063,1
avvillas,impuesto telefonico,presencial,pagos presencial,2022,11,3816,1
avvillas,impuesto telefonico,presencial,pagos presencial,2022,12,419029,2
avvillas,impuesto telefonico,presencial,pagos presencial,2023,5,210358,1
avvillas,impuesto telefonico,presencial,pagos presencial,2023,6,153294,5
avvillas,impuesto telefonico,presencial,pagos presencial,2023,10,26976,1
avvillas,industria y comercio,presencial,pagos presencial,2022,2,140048,2
avvillas,industria y comercio,presencial,pagos presencial,2022,3,19313445,37
avvillas,industria y comercio,presencial,pagos presencial,2022,4,17273921,24
avvillas,industria y comercio,presencial,pagos presencial,2022,5,36368613,53
avvillas,industria y comercio,presencial,pagos presencial,2022,6,38220659,40
