contrato;tipo_archivo_recaudo;periodo;mes;total_recaudo;total_transacciones;periodo_mes
otros ingresos;virtual;2020;9;463794492;28;2020-9-1
publicidad exterior visual;presencial;2020;9;233920032;394;2020-9-1
recursos fonset;presencial;2020;9;121816319;5;2020-9-1
recursos fonset;virtual;2020;9;8272429843;78;2020-9-1
rendimientos financieros y recursos no ejecutados;presencial;2020;9;1177029851;59;2020-9-1
rendimientos financieros y recursos no ejecutados;virtual;2020;9;7889192295;202;2020-9-1
rentas contractuales;presencial;2020;9;39821321;72;2020-9-1
rentas contractuales;virtual;2020;9;3612377583;24;2020-9-1
retencion ica;presencial;2020;9;1476573639;117;2020-9-1
retencion ica;virtual;2020;9;4057057570;836;2020-9-1
servicios;presencial;2020;9;8814673;898;2020-9-1
servicios;virtual;2020;9;100200;6;2020-9-1
sobretasa a la gasolina;presencial;2020;9;6767031000;8;2020-9-1
transferencias;presencial;2020;9;45184004;3;2020-9-1
transferencias;virtual;2020;9;2889050782;35;2020-9-1
alumbrado publico;presencial;2020;10;6345799487;423;2020-10-1
circulacion y transito;presencial;2020;10;1659339302;1888;2020-10-1
circulacion y transito;virtual;2020;10;3655646;43;2020-10-1
cuotas partes jubilatorias;presencial;2020;10;94121330;22;2020-10-1
deguello de ganado;virtual;2020;10;295397700;2;2020-10-1
delineacion urbana;presencial;2020;10;4798575458;204;2020-10-1
delineacion urbana;virtual;2020;10;167380000;22;2020-10-1
estampilla procultura;presencial;2020;10;3640000;1;2020-10-1
estampilla procultura;virtual;2020;10;126676000;7;2020-10-1
impuesto predial;presencial;2020;10;75032557366;110086;2020-10-1
impuesto predial;virtual;2020;10;15707621941;17964;2020-10-1
impuesto telefonico;presencial;2020;10;1980175763;33;2020-10-1
impuesto telefonico;virtual;2020;10;29915912;33;2020-10-1
industria y comercio;presencial;2020;10;17326288745;23653;2020-10-1
industria y comercio;virtual;2020;10;30163785270;17122;2020-10-1
ingresos no tributarios;presencial;2020;10;3178837799;588;2020-10-1
ingresos no tributarios;virtual;2020;10;1090267633;90;2020-10-1
movilidad;presencial;2020;10;20552068427;62171;2020-10-1
multas codigo de policia;presencial;2020;10;215010431;713;2020-10-1
otros ingresos;presencial;2020;10;1,20313E+11;442;2020-10-1
otros ingresos;virtual;2020;10;995290477;23;2020-10-1
publicidad exterior visual;presencial;2020;10;253458482;437;2020-10-1
recursos fonset;presencial;2020;10;40688000;5;2020-10-1
recursos fonset;virtual;2020;10;7130528867;86;2020-10-1
rendimientos financieros y recursos no ejecutados;presencial;2020;10;1556668320;105;2020-10-1
rendimientos financieros y recursos no ejecutados;virtual;2020;10;3964144734;204;2020-10-1
rentas contractuales;presencial;2020;10;3524240755;152;2020-10-1
rentas contractuales;virtual;2020;10;530041511;20;2020-10-1
retencion ica;presencial;2020;10;933600;1;2020-10-1
retencion ica;virtual;2020;10;103415645;24;2020-10-1
servicios;presencial;2020;10;9033099;1001;2020-10-1
servicios;virtual;2020;10;22200;3;2020-10-1
sobretasa a la gasolina;presencial;2020;10;8520037000;8;2020-10-1
transferencias;presencial;2020;10;8950617403;6;2020-10-1
transferencias;virtual;2020;10;2935919773;36;2020-10-1
alumbrado publico;presencial;2020;11;220309591;259;2020-11-1
circulacion y transito;presencial;2020;11;1557167937;1726;2020-11-1
circulacion y transito;virtual;2020;11;756447;14;2020-11-1
cuotas partes jubilatorias;presencial;2020;11;80488346;36;2020-11-1
deguello de ganado;virtual;2020;11;304262400;2;2020-11-1
delineacion urbana;presencial;2020;11;819992609;179;2020-11-1
delineacion urbana;virtual;2020;11;269265000;19;2020-11-1
estampilla procultura;virtual;2020;11;109487000;6;2020-11-1
impuesto predial;presencial;2020;11;43408904692;170227;2020-11-1
impuesto predial;virtual;2020;11;31041989854;30561;2020-11-1
impuesto telefonico;presencial;2020;11;1948945157;17;2020-11-1
impuesto telefonico;virtual;2020;11;4726903;12;2020-11-1
industria y comercio;presencial;2020;11;68811715133;22175;2020-11-1
industria y comercio;virtual;2020;11;34219576320;14331;2020-11-1
ingresos no tributarios;presencial;2020;11;4080322601;536;2020-11-1
ingresos no tributarios;virtual;2020;11;328986108;57;2020-11-1
movilidad;presencial;2020;11;13365824109;46964;2020-11-1
multas codigo de policia;presencial;2020;11;113766509;428;2020-11-1
otros ingresos;presencial;2020;11;66916784623;266;2020-11-1
otros ingresos;virtual;2020;11;119068;2;2020-11-1
publicidad exterior visual;presencial;2020;11;103350860;321;2020-11-1
recursos fonset;presencial;2020;11;4949000;1;2020-11-1
recursos fonset;virtual;2020;11;7757036727;79;2020-11-1
rendimientos financieros y recursos no ejecutados;presencial;2020;11;2768772444;91;2020-11-1
rendimientos financieros y recursos no ejecutados;virtual;2020;11;4990057482;172;2020-11-1
rentas contractuales;presencial;2020;11;85438381;131;2020-11-1
rentas contractuales;virtual;2020;11;3783483106;27;2020-11-1
retencion ica;presencial;2020;11;1586602089;116;2020-11-1
retencion ica;virtual;2020;11;4886849253;872;2020-11-1
servicios;presencial;2020;11;7332607;884;2020-11-1
servicios;virtual;2020;11;32900;1;2020-11-1
sobretasa a la gasolina;presencial;2020;11;9272059000;8;2020-11-1
transferencias;presencial;2020;11;45165078;2;2020-11-1
transferencias;virtual;2020;11;2789949902;34;2020-11-1
alumbrado publico;presencial;2020;12;10669985691;1843;2020-12-1
aportes voluntarios;presencial;2020;12;140600;2;2020-12-1
circulacion y transito;presencial;2020;12;1725146719;1386;2020-12-1
circulacion y transito;virtual;2020;12;964994;12;2020-12-1
cuotas partes jubilatorias;presencial;2020;12;3522342068;65;2020-12-1
deguello de ganado;virtual;2020;12;291876000;2;2020-12-1
delineacion urbana;presencial;2020;12;1658034609;302;2020-12-1
delineacion urbana;virtual;2020;12;1444834000;27;2020-12-1
estampilla procultura;presencial;2020;12;4706000;1;2020-12-1
estampilla procultura;virtual;2020;12;171219000;10;2020-12-1
impuesto predial;presencial;2020;12;28916385369;112612;2020-12-1
impuesto predial;virtual;2020;12;16591257467;22016;2020-12-1
impuesto telefonico;presencial;2020;12;2125901323;19;2020-12-1
impuesto telefonico;virtual;2020;12;20217803;7;2020-12-1
industria y comercio;presencial;2020;12;52730070337;22391;2020-12-1
industria y comercio;virtual;2020;12;44298975774;15806;2020-12-1
ingresos no tributarios;presencial;2020;12;8641853137;617;2020-12-1
ingresos no tributarios;virtual;2020;12;82624253;29;2020-12-1
movilidad;presencial;2020;12;24076036803;68749;2020-12-1
multas codigo de policia;presencial;2020;12;186044355;386;2020-12-1
otros ingresos;presencial;2020;12;75583584362;299;2020-12-1
otros ingresos;virtual;2020;12;689780596;5;2020-12-1
publicidad exterior visual;presencial;2020;12;176606180;471;2020-12-1
recursos fonset;presencial;2020;12;7988421000;2;2020-12-1
recursos fonset;virtual;2020;12;6472203987;134;2020-12-1
rendimientos financieros y recursos no ejecutados;presencial;2020;12;7204516313;176;2020-12-1
rendimientos financieros y recursos no ejecutados;virtual;2020;12;6427737323;263;2020-12-1
rentas contractuales;presencial;2020;12;79836206;144;2020-12-1
rentas contractuales;virtual;2020;12;3658663695;35;2020-12-1
retencion ica;presencial;2020;12;2678000;2;2020-12-1
retencion ica;virtual;2020;12;54930960;40;2020-12-1
servicios;presencial;2020;12;5392631;459;2020-12-1
servicios;virtual;2020;12;8300;1;2020-12-1
sobretasa a la gasolina;presencial;2020;12;8756347000;8;2020-12-1
transferencias;presencial;2020;12;6285001450;7;2020-12-1
